Date,Open,High,Low,Close,Adj Close,Volume
2019-10-16,38637.050781,38666.378906,38416.671875,38598.988281,38598.988281,27500
2019-10-17,38647.441406,39104.691406,38557.429688,39052.058594,39052.058594,47100
2019-10-18,39087.828125,39361.058594,38963.601563,39298.378906,39298.378906,42400
2019-10-22,39233.398438,39426.468750,38924.851563,38963.839844,38963.839844,54500
2019-10-23,39063.839844,39196.671875,38866.078125,39058.828125,39058.828125,41000
2019-10-24,39223.011719,39327.148438,38840.761719,39020.390625,39020.390625,36600
2019-10-25,39201.671875,39241.609375,38718.269531,39058.058594,39058.058594,48600
2019-10-27,null,null,null,null,null,null
2019-10-29,39293.488281,39917.011719,39254.121094,39831.839844,39831.839844,50500
2019-10-30,40055.628906,40178.121094,39805.109375,40051.871094,40051.871094,37200
2019-10-31,40211.988281,40392.218750,40054.890625,40129.050781,40129.050781,87900
2019-11-01,40196.070313,40283.300781,40014.230469,40165.031250,40165.031250,57000
2019-11-04,40293.851563,40483.210938,40186.289063,40301.960938,40301.960938,62600
2019-11-05,40445.671875,40466.550781,40053.550781,40248.230469,40248.230469,45400
2019-11-06,40311.851563,40606.910156,40037.531250,40469.781250,40469.781250,37700
2019-11-07,40625.640625,40688.269531,40421.070313,40653.738281,40653.738281,30200
2019-11-08,40630.558594,40749.328125,40263.941406,40323.609375,40323.609375,42600
2019-11-11,40316.500000,40417.441406,40150.968750,40345.078125,40345.078125,29500
2019-11-13,40346.429688,40447.171875,40061.230469,40116.058594,40116.058594,37700
2019-11-14,40178.929688,40348.609375,40026.988281,40286.480469,40286.480469,27800
2019-11-15,40408.199219,40650.058594,40308.089844,40356.691406,40356.691406,25800
2019-11-18,40431.078125,40542.398438,40221.968750,40284.191406,40284.191406,28700
2019-11-19,40455.359375,40544.128906,40290.210938,40469.699219,40469.699219,39100
2019-11-20,40729.800781,40816.378906,40575.960938,40651.640625,40651.640625,32300
2019-11-21,40737.308594,40744.851563,40534.121094,40575.171875,40575.171875,21800
2019-11-22,40653.171875,40653.171875,40276.828125,40359.410156,40359.410156,21700
2019-11-25,40439.660156,40931.710938,40393.898438,40889.230469,40889.230469,28600
2019-11-26,41022.851563,41120.281250,40710.199219,40821.300781,40821.300781,32800
2019-11-27,40979.390625,41075.761719,40848.699219,41020.609375,41020.609375,32400
2019-11-28,41161.539063,41163.789063,40996.078125,41130.171875,41130.171875,30900
2019-11-29,41138.261719,41143.218750,40664.179688,40793.808594,40793.808594,46700
2019-12-02,41072.941406,41093.988281,40707.628906,40802.171875,40802.171875,39800
2019-12-03,40852.609375,40885.031250,40554.039063,40675.449219,40675.449219,33700
2019-12-04,40606.011719,40886.871094,40475.828125,40850.289063,40850.289063,44500
2019-12-05,40988.140625,41002.410156,40720.171875,40779.589844,40779.589844,33000
2019-12-06,40952.128906,40952.128906,40337.531250,40445.148438,40445.148438,33100
2019-12-09,40527.238281,40645.628906,40336.558594,40487.429688,40487.429688,32600
2019-12-10,40588.808594,40588.808594,40208.699219,40239.878906,40239.878906,31400
2019-12-11,40285.199219,40466.128906,40135.371094,40412.570313,40412.570313,55500
2019-12-12,40561.339844,40712.648438,40490.691406,40581.710938,40581.710938,41300
2019-12-13,40754.820313,41055.800781,40736.699219,41009.710938,41009.710938,27900
2019-12-16,41168.851563,41185.031250,40917.929688,40938.718750,40938.718750,21600
2019-12-17,41052.359375,41401.648438,41005.179688,41352.171875,41352.171875,19000
2019-12-18,41442.750000,41614.769531,41358.468750,41558.570313,41558.570313,24300
2019-12-19,41571.820313,41719.289063,41456.398438,41673.921875,41673.921875,33300
2019-12-20,41746.199219,41809.960938,41636.109375,41681.539063,41681.539063,33600
2019-12-23,41548.261719,41701.621094,41474.609375,41642.660156,41642.660156,6200
2019-12-24,41684.511719,41702.980469,41423.070313,41461.261719,41461.261719,4400
2019-12-26,41543.800781,41543.800781,41132.890625,41163.761719,41163.761719,5600
2019-12-27,41297.078125,41611.269531,41264.921875,41575.140625,41575.140625,6100
2019-12-30,41686.269531,41714.730469,41453.378906,41558.000000,41558.000000,5700
2019-12-31,41607.488281,41607.488281,41184.730469,41253.738281,41253.738281,5600
2020-01-01,null,null,null,null,null,null
2020-01-02,41340.269531,41649.289063,41328.449219,41626.640625,41626.640625,5300
2020-01-03,41634.511719,41636.179688,41348.679688,41464.609375,41464.609375,8900
2020-01-06,41378.339844,41378.339844,40613.960938,40676.628906,40676.628906,8700
2020-01-07,40983.039063,41230.140625,40727.371094,40869.468750,40869.468750,11900
2020-01-08,40574.828125,40866.359375,40476.550781,40817.738281,40817.738281,18200
2020-01-09,41216.671875,41482.121094,41175.718750,41452.351563,41452.351563,7800
2020-01-10,41568.199219,41775.109375,41447.800781,41599.718750,41599.718750,13200
2020-01-13,41788.210938,41899.628906,41720.761719,41859.691406,41859.691406,10600
2020-01-14,41883.089844,41994.261719,41770.898438,41952.628906,41952.628906,14100
2020-01-15,41969.859375,41969.859375,41648.109375,41872.730469,41872.730469,6100
2020-01-16,41924.738281,42059.449219,41812.281250,41932.558594,41932.558594,6600
2020-01-17,41929.019531,42063.929688,41850.289063,41945.371094,41945.371094,9500
2020-01-20,42263.000000,42273.871094,41503.371094,41528.910156,41528.910156,7500
2020-01-21,41487.570313,41532.589844,41294.300781,41323.808594,41323.808594,8900
2020-01-22,41467.128906,41532.289063,41059.039063,41115.378906,41115.378906,7700
2020-01-23,41191.500000,41413.960938,41098.910156,41386.398438,41386.398438,9900
2020-01-24,41377.039063,41697.031250,41275.601563,41613.191406,41613.191406,6600
2020-01-27,41510.679688,41516.269531,41122.480469,41155.121094,41155.121094,7000
2020-01-28,41299.679688,41333.250000,40869.750000,40966.859375,40966.859375,9800
2020-01-29,41131.570313,41334.859375,41108.191406,41198.660156,41198.660156,7800
2020-01-30,41380.140625,41380.140625,40829.910156,40913.820313,40913.820313,6700
2020-01-31,41146.558594,41154.488281,40671.011719,40723.488281,40723.488281,11500
2020-02-03,39701.019531,40014.898438,39563.070313,39872.308594,39872.308594,10600
2020-02-04,40178.738281,40818.941406,40117.460938,40789.378906,40789.378906,15300
2020-02-05,40921.710938,41177.000000,40703.320313,41142.660156,41142.660156,13900
2020-02-06,41209.128906,41405.429688,41113.109375,41306.031250,41306.031250,15000
2020-02-07,41394.410156,41394.410156,41073.359375,41141.851563,41141.851563,15300
2020-02-10,41166.718750,41172.058594,40798.980469,40979.621094,40979.621094,15200
